Ordner;ISO_min;ISO_max;ISO_mean;ISO_median;F_min;F_max;F_mean;F_median;Exp_min;Exp_max;Exp_mean;Exp_median
20250221_Mini3Pro_Kirsche;100;200;151.6;150.0;1.7;1.7;1.7;1.7;0.000667;0.003125;0.001527;0.00125
20250228_Mini3Pro_Kirsche;100;200;125.6;110.0;1.7;1.7;1.7;1.7;0.0002;0.005;0.001484;0.00125
20250305_Mini3Pro_Kirsche;100;200;120.1;100.0;1.7;1.7;1.7;1.7;0.0004;0.002857;0.001374;0.001379
20250311_Mini3Pro_Kirsche;100;200;118.2;100.0;1.7;1.7;1.7;1.7;0.00025;0.002;0.000808;0.0008
20250314_Mini3Pro_Kirsche;100;200;138.6;120.0;1.7;1.7;1.7;1.7;0.000167;0.004;0.001075;0.000667
20250317_Mini3Pro_Kirsche;100;200;113.4;100.0;1.7;1.7;1.7;1.7;0.0002;0.004167;0.001165;0.0008
20250319_Mini3Pro_Kirsche;100;200;108.0;100.0;1.7;1.7;1.7;1.7;0.000333;0.001379;0.00072;0.000667
20250326_Mini3Pro_Kirsche;100;200;123.4;110.0;1.7;1.7;1.7;1.7;0.00025;0.002;0.000752;0.000625
20250331_Mini3Pro_Kirsche;100;200;142.9;120.0;1.7;1.7;1.7;1.7;0.00025;0.005;0.001432;0.001
20250411_Mini3Pro_Kirsche;100;200;136.8;120.0;1.7;1.7;1.7;1.7;0.00025;0.005;0.00107;0.001
20250423_Mini3Pro_Kirsche;100;200;122.3;110.0;1.7;1.7;1.7;1.7;0.0002;0.005556;0.00129;0.00125
