baum;drohne;datum;3D_ERROR CONTROL;PIX_ERRROR CONTROL;3D_ERROR CHECK;PIX_ERRROR CHECK
kirsche;dji mini 3 pro;11.03.2025;10.1579;2.168;7.45761;2.504
kirsche;dji mini 3 pro;19.03.2025;7.01225;2.307;6.15041;2.061
kirsche;dji mini 3 pro;26.03.2025;5.34655;1.894;6.82243;2.036
kirsche;dji mini 3 pro;31.03.2025;3.82257;1.988;4.8596;1.554
kirsche;dji mini 3 pro;11.04.2025;6.00801;1.986;7.55777;1.408
kirsche;dji mini 3 pro;23.04.2025;6.0117;1.883;5.92058;2.942
kirsche;dji phantom 4 rtk;24.03.2025;3.23645;0.613;5.18668;0.763
kirsche;dji phantom 4 rtk;11.04.2025;3.98024;0.965;3.91015;1.154
kirsche;dji phantom 4 rtk;23.04.2025;4.14929;0.571;6.27959;0.59
ahorn;dji mini 3 pro;14.03.2025;17.1164;1.694;#NV;#NV
ahorn;dji mini 3 pro;17.03.2025;18.3666;1.504;#NV;#NV
ahorn;dji mini 3 pro;03.04.2025;4.84252;1.365;27.6914;1.233
ahorn;dji mini 3 pro;08.05.2025;8.00176;1.398;29.6012;1.228
linde;dji mini 3 pro;03.04.2025;8.90212;1.373;12.2693;1.238
linde;dji mini 3 pro;08.05.2025;4.60540;1.204;5.1741;1.083
gruppe;cranecam;24.02.2025;15.7840;0.176;28.2504;0.206
gruppe;cranecam;20.03.2025;12.3131;0.210;30.6185;0.315
gruppe;cranecam;10.04.2025;14.4882;0.179;3.00661;0.238

